2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	25	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Annika Klose	SPD	21/94	25	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	25	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Sarah Vollath	Die Linke	21/94	25	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Annika Klose	SPD	21/94	26	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	26	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Annika Klose	SPD	21/94	26	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	26	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Jan Feser	AfD	21/94	26	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Annika Klose	SPD	21/94	27	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	28	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Robert Teske	AfD	21/94	28	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	29	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Johannes Winkel	CDU/CSU	21/94	29	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	31	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Johannes Winkel	CDU/CSU	21/94	31	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	31	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Timon Dzienus	BÜNDNIS 90/DIE GRÜNEN	21/94	31	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsidentin Andrea Lindholz		21/94	32	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
